# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.83263158     	6.64597496e-01
0.83368421     	6.64597407e-01
0.83473684     	6.64597314e-01
0.83578947     	6.64597218e-01
0.83684211     	6.64597120e-01
0.83789474     	6.64597018e-01
0.83894737     	6.64596913e-01
0.84           	6.64596805e-01
0.84105263     	6.64596694e-01
0.84210526     	6.64596580e-01
0.84315789     	6.64596463e-01
0.84421053     	6.64596343e-01
0.84526316     	6.64596220e-01
0.84631579     	6.64596094e-01
0.84736842     	6.64595965e-01
0.84842105     	6.64595832e-01
0.84947368     	6.64595697e-01
0.85052632     	6.64595559e-01
0.85157895     	6.64595418e-01
0.85263158     	6.64595273e-01
0.85368421     	6.64595126e-01
0.85473684     	6.64594976e-01
0.85578947     	6.64594823e-01
0.85684211     	6.64594667e-01
0.85789474     	6.64594508e-01
0.85894737     	6.64594346e-01
0.86           	6.64594181e-01
0.86105263     	6.64594014e-01
0.86210526     	6.64593843e-01
0.86315789     	6.64593670e-01
0.86421053     	6.64593494e-01
0.86526316     	6.64593315e-01
0.86631579     	6.64593134e-01
0.86736842     	6.64592949e-01
0.86842105     	6.64592763e-01
0.86947368     	6.64592573e-01
0.87052632     	6.64592381e-01
0.87157895     	6.64592187e-01
0.87263158     	6.64591989e-01
0.87368421     	6.64591789e-01
0.87473684     	6.64591586e-01
0.87578947     	6.64591379e-01
0.87684211     	6.64591169e-01
0.87789474     	6.64590956e-01
0.87894737     	6.64590740e-01
0.88           	6.64590520e-01
0.88105263     	6.64590298e-01
0.88210526     	6.64590073e-01
0.88315789     	6.64589846e-01
0.88421053     	6.64589615e-01
0.88526316     	6.64589383e-01
0.88631579     	6.64589148e-01
0.88736842     	6.64588910e-01
0.88842105     	6.64588671e-01
